Holdings details

Mid-Cap ETF (VO)


Equity,as of 09/30/2024

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,2637785,NVR Inc,NVR,0.35%,Household Durables,US,---,"$607,517,220.60","61,917"
,2047317,Archer-Daniels-Midland Co,ADM,0.34%,Food Products,US,---,"$604,934,588.02","10,126,123"
,B2R3PV1,American Water Works Co Inc,AWK,0.34%,Water Utilities,US,---,"$603,510,251.52","4,126,848"
,BYVMW06,Hilton Worldwide Holdings Inc,HLT,0.34%,"Hotels, Restaurants & Leisure",US,---,"$601,463,242.50","2,609,385"
,2422806,Hershey Co/The,HSY,0.34%,Food Products,US,---,"$599,778,525.40","3,127,430"
,2455965,Biogen Inc,BIIB,0.34%,Biotechnology,US,---,"$597,961,508.80","3,084,820"
,2317087,Entergy Corp,ETR,0.34%,Electric Utilities,US,---,"$596,003,123.55","4,528,555"
,2045623,ANSYS Inc,ANSS,0.34%,Software,US,---,"$589,676,433.06","1,850,662"
,2967181,Williams Cos Inc/The,WMB,0.34%,"Oil, Gas & Consumable Fuels",US,---,"$589,211,397.50","12,907,150"
,BQZJ0Q9,Keysight Technologies Inc,KEYS,0.33%,"Electronic Equipment, Instruments & Components",US,---,"$587,467,739.49","3,696,393"
,BYT3MK1,Fortive Corp,FTV,0.33%,Machinery,US,---,"$585,625,712.94","7,419,558"
,BF14BT1,Ares Management Corp,ARES,0.33%,Capital Markets,US,---,"$582,719,109.76","3,739,214"
,B3Z5T14,Garmin Ltd,GRMN,0.33%,Household Durables,US,---,"$573,248,384.14","3,256,538"
,2175672,Cardinal Health Inc,CAH,0.33%,Health Care Providers & Services,US,---,"$570,735,005.76","5,164,088"
,2065955,AutoZone Inc,AZO,0.32%,Specialty Retail,US,---,"$569,807,585.56","180,889"
,B0796X4,Dexcom Inc,DXCM,0.32%,Health Care Equipment & Supplies,US,---,"$568,937,842.72","8,486,543"
,2464165,International Flavors & Fragrances Inc,IFF,0.32%,Chemicals,US,---,"$568,130,578.61","5,414,377"
,2319157,Equity Residential,EQR,0.32%,Residential REITs,US,---,"$567,964,722.18","7,627,783"
,BYVYWS0,Hewlett Packard Enterprise Co,HPE,0.32%,"Technology Hardware, Storage & Peripherals",US,---,"$563,151,392.76","27,524,506"
,2927925,Ventas Inc,VTR,0.32%,Health Care REITs,US,---,"$561,120,569.68","8,749,736"
,2278407,Dover Corp,DOV,0.32%,Machinery,US,---,"$558,166,260.92","2,911,058"
,BPGMZQ5,Veralto Corp,VLTO,0.32%,Commercial Services & Supplies,US,---,"$556,115,569.52","4,971,532"
,2812452,Simon Property Group Inc,SPG,0.32%,Retail REITs,US,---,"$554,345,542.26","3,279,763"
,BR4T3B3,HubSpot Inc,HUBS,0.31%,Software,US,---,"$549,187,986.00","1,033,085"
,BY7QL61,Johnson Controls International plc,JCI,0.31%,Building Products,US,---,"$548,977,982.67","7,073,547"
,BZ6TS23,SBA Communications Corp,SBAC,0.31%,Specialized REITs,US,---,"$547,844,272.20","2,276,046"
,2195841,Church & Dwight Co Inc,CHD,0.31%,Household Products,US,---,"$542,930,578.96","5,184,593"
,2122117,Take-Two Interactive Software Inc,TTWO,0.31%,Entertainment,US,---,"$542,059,698.39","3,526,509"
,BQ1PC76,Atlassian Corp,TEAM,0.31%,Software,US,---,"$538,232,499.60","3,389,160"
,B1HMF22,First Solar Inc,FSLR,0.31%,Semiconductors & Semiconductor Equipment,US,---,"$537,211,943.68","2,153,672"
,2630643,NetApp Inc,NTAP,0.31%,"Technology Hardware, Storage & Peripherals",US,---,"$535,642,984.89","4,336,839"
,2842040,State Street Corp,STT,0.30%,Capital Markets,US,---,"$531,532,979.73","6,008,059"
,B1VP7R6,Broadridge Financial Solutions Inc,BR,0.30%,Professional Services,US,---,"$531,478,039.38","2,471,646"
,B3SPXZ3,LyondellBasell Industries NV,LYB,0.30%,Chemicals,US,---,"$528,207,034.60","5,507,894"
,2909644,Tyler Technologies Inc,TYL,0.30%,Software,US,---,"$527,512,433.76","903,708"
,2958936,Weyerhaeuser Co,WY,0.30%,Specialized REITs,US,---,"$521,547,645.46","15,403,061"
,2480677,Devon Energy Corp,DVN,0.30%,"Oil, Gas & Consumable Fuels",US,---,"$518,796,491.28","13,261,669"
,BVVN4Q8,Eversource Energy,ES,0.29%,Electric Utilities,US,---,"$515,056,091.45","7,568,789"
,2100920,FirstEnergy Corp,FE,0.29%,Electric Utilities,US,---,"$513,893,872.25","11,587,235"
,2702337,T Rowe Price Group Inc,TROW,0.29%,Capital Markets,US,---,"$513,524,777.52","4,714,264"
,2542049,Dominion Energy Inc,D,0.29%,Multi-Utilities,US,---,"$513,378,563.01","8,883,519"
,BFY8C75,STERIS PLC,STE,0.29%,Health Care Equipment & Supplies,US,---,"$506,543,092.22","2,088,493"
,BMWBC20,ROBLOX Corp,RBLX,0.29%,Entertainment,US,---,"$504,895,551.66","11,407,491"
,B5B2106,Fortinet Inc,FTNT,0.29%,Software,US,---,"$502,491,894.30","6,479,586"
,2692687,Brown & Brown Inc,BRO,0.29%,Insurance,US,---,"$500,688,440.00","4,832,900"
,2027342,American International Group Inc,AIG,0.28%,Insurance,US,---,"$499,348,779.30","6,818,910"
,2954699,Western Digital Corp,WDC,0.28%,"Technology Hardware, Storage & Peripherals",US,---,"$496,714,622.03","7,273,607"
,BJXC5M2,Cloudflare Inc,NET,0.28%,IT Services,US,---,"$494,209,588.50","6,109,650"
,2050832,Ameren Corp,AEE,0.28%,Multi-Utilities,US,---,"$493,642,431.68","5,644,208"
,2680905,PPL Corp,PPL,0.28%,Electric Utilities,US,---,"$491,025,725.64","14,843,583"
,BGSXTS3,Moderna Inc,MRNA,0.28%,Biotechnology,US,---,"$489,639,484.86","7,326,642"
,2405302,Halliburton Co,HAL,0.28%,Energy Equipment & Services,US,---,"$488,824,727.65","16,827,013"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.28%,"Technology Hardware, Storage & Peripherals",US,---,"$487,573,561.71","4,451,507"
,2718992,Raymond James Financial Inc,RJF,0.27%,Capital Markets,US,---,"$480,692,115.54","3,925,299"
,2280220,DTE Energy Co,DTE,0.27%,Multi-Utilities,US,---,"$478,323,269.29","3,724,969"
,2486813,Kellanova,K,0.27%,Food Products,US,---,"$470,313,231.29","5,827,199"
,BWFRFC6,GoDaddy Inc,GDDY,0.27%,IT Services,US,---,"$468,060,262.02","2,985,459"
,2783815,Zimmer Biomet Holdings Inc,ZBH,0.27%,Health Care Equipment & Supplies,US,---,"$465,582,304.80","4,312,944"
,BQPDXR3,Cooper Cos Inc/The,COO,0.27%,Health Care Equipment & Supplies,US,---,"$465,297,821.64","4,216,946"
,2884183,Teradyne Inc,TER,0.26%,Semiconductors & Semiconductor Equipment,US,---,"$462,825,115.32","3,455,724"
,2950482,West Pharmaceutical Services Inc,WST,0.26%,Life Sciences Tools & Services,US,---,"$461,128,604.16","1,536,276"
,B5834C5,Cboe Global Markets Inc,CBOE,0.26%,Capital Markets,US,---,"$453,973,071.96","2,215,908"
,2937689,Waters Corp,WAT,0.26%,Life Sciences Tools & Services,US,---,"$452,438,592.62","1,257,158"
,2445966,Huntington Bancshares Inc/OH,HBAN,0.26%,Banks,US,---,"$452,169,148.20","30,759,806"
,B01R311,Regions Financial Corp,RF,0.26%,Banks,US,---,"$452,152,384.24","19,380,728"
,2196888,Cincinnati Financial Corp,CINF,0.26%,Insurance,US,---,"$450,401,342.60","3,308,855"
,2219224,CMS Energy Corp,CMS,0.25%,Multi-Utilities,US,---,"$446,698,869.96","6,324,492"
,2712013,Global Payments Inc,GPN,0.25%,Financial Services,US,---,"$442,301,794.20","4,318,510"
,B3NQ4P8,Kinder Morgan Inc,KMI,0.25%,"Oil, Gas & Consumable Fuels",US,---,"$441,285,457.63","19,976,707"
,2613990,Illumina Inc,ILMN,0.25%,Life Sciences Tools & Services,US,---,"$439,957,566.09","3,373,649"
,2009210,Alexandria Real Estate Equities Inc,ARE,0.25%,Health Care REITs,US,---,"$439,927,187.50","3,704,650"
,2550161,McCormick & Co Inc/MD,MKC,0.25%,Food Products,US,---,"$439,247,527.30","5,337,151"
,BRC3N73,Super Micro Computer Inc,SMCI,0.25%,"Technology Hardware, Storage & Peripherals",US,---,"$438,856,035.60","1,053,929"
,BMX5GK7,Corpay Inc,CPAY,0.25%,Financial Services,US,---,"$436,903,826.80","1,396,930"
,2073022,Ball Corp,BALL,0.25%,Containers & Packaging,US,---,"$436,588,432.57","6,428,927"
,BD81GW9,Invitation Homes Inc,INVH,0.25%,Residential REITs,US,---,"$434,573,082.68","12,324,818"
,2503477,Teledyne Technologies Inc,TDY,0.25%,"Electronic Equipment, Instruments & Components",US,---,"$433,630,902.04","990,794"
,BYMWL86,TransUnion,TRU,0.25%,Professional Services,US,---,"$430,829,506.50","4,114,895"
,2279303,Omnicom Group Inc,OMC,0.24%,Media,US,---,"$428,410,009.09","4,143,631"
,2204026,Clorox Co/The,CLX,0.24%,Household Products,US,---,"$427,338,506.87","2,623,157"
,2094670,Best Buy Co Inc,BBY,0.24%,Specialty Retail,US,---,"$424,722,805.10","4,111,547"
,2803014,Principal Financial Group Inc,PFG,0.24%,Insurance,US,---,"$421,301,704.00","4,904,560"
,2567116,Edwards Lifesciences Corp,EW,0.24%,Health Care Equipment & Supplies,US,---,"$420,934,966.31","6,378,769"
,BP96PS6,Synchrony Financial,SYF,0.24%,Consumer Finance,US,---,"$417,506,174.56","8,370,212"
,BJ2Z0H2,Pinterest Inc,PINS,0.24%,Interactive Media & Services,US,---,"$413,763,827.88","12,782,324"
,2367480,Genuine Parts Co,GPC,0.23%,Distributors,US,---,"$412,124,722.56","2,950,492"
,2289874,Darden Restaurants Inc,DRI,0.23%,"Hotels, Restaurants & Leisure",US,---,"$411,774,432.03","2,508,831"
,2085102,Baxter International Inc,BAX,0.23%,Health Care Equipment & Supplies,US,---,"$410,248,839.44","10,804,552"
,2504566,Packaging Corp of America,PKG,0.23%,Containers & Packaging,US,---,"$409,699,846.80","1,902,042"
,2566436,Markel Group Inc,MKL,0.23%,Insurance,US,---,"$408,539,798.16","260,452"
,B783TY6,Aptiv PLC,APTV,0.23%,Automobile Components,US,---,"$405,295,395.21","5,628,321"
