iShares Russell 2000 ETF
Fund Holdings as of,"Oct 22, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"314,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","141,591,270.92","0.20","141,591,270.92","705,452.00","200.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","141,514,948.08","0.20","141,514,948.08","741,576.00","190.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BPMC","BLUEPRINT MEDICINES CORP","Health Care","Equity","140,581,456.01","0.20","140,581,456.01","1,625,783.00","86.47","United States","NASDAQ","USD","1.00","USD","-"
"BCPC","BALCHEM CORP","Materials","Equity","139,938,929.88","0.20","139,938,929.88","834,908.00","167.61","United States","NASDAQ","USD","1.00","USD","-"
"EXPO","EXPONENT INC","Industrials","Equity","139,668,673.93","0.20","139,668,673.93","1,298,881.00","107.53","United States","NASDAQ","USD","1.00","USD","-"
"MMS","MAXIMUS INC","Industrials","Equity","137,766,079.44","0.20","137,766,079.44","1,581,337.00","87.12","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBH","KB HOME","Consumer Discretionary","Equity","137,697,668.68","0.20","137,697,668.68","1,755,676.00","78.43","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GBCI","GLACIER BANCORP INC","Financials","Equity","137,383,799.54","0.20","137,383,799.54","2,951,951.00","46.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BCC","BOISE CASCADE","Industrials","Equity","137,349,699.30","0.20","137,349,699.30","1,027,682.00","133.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CNX","CNX RESOURCES CORP","Energy","Equity","136,562,156.15","0.20","136,562,156.15","3,852,247.00","35.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","136,547,875.59","0.20","136,547,875.59","3,112,557.00","43.87","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KNF","KNIFE RIVER CORP","Materials","Equity","135,992,706.18","0.20","135,992,706.18","1,468,921.00","92.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","135,807,912.70","0.20","135,807,912.70","1,110,449.00","122.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZWS","ZURN ELKAY WATER SOLUTIONS CORP","Industrials","Equity","135,680,214.48","0.20","135,680,214.48","3,716,248.00","36.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","135,516,028.58","0.20","135,516,028.58","457,222.00","296.39","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRNX","CRINETICS PHARMACEUTICALS INC","Health Care","Equity","135,006,039.42","0.20","135,006,039.42","2,264,822.00","59.61","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE INC","Information Technology","Equity","134,751,256.26","0.19","134,751,256.26","2,755,086.00","48.91","United States","NASDAQ","USD","1.00","USD","-"
"OPCH","OPTION CARE HEALTH INC","Health Care","Equity","134,671,796.36","0.19","134,671,796.36","4,438,754.00","30.34","United States","NASDAQ","USD","1.00","USD","-"
"MARA","MARA HOLDINGS INC","Information Technology","Equity","134,162,498.47","0.19","134,162,498.47","7,072,351.00","18.97","United States","NASDAQ","USD","1.00","USD","-"
"PI","IMPINJ INC","Information Technology","Equity","132,627,805.50","0.19","132,627,805.50","593,413.00","223.50","United States","NASDAQ","USD","1.00","USD","-"
"CADE","CADENCE BANK","Financials","Equity","132,243,000.00","0.19","132,243,000.00","3,889,500.00","34.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RNA","AVIDITY BIOSCIENCES INC","Health Care","Equity","132,206,593.48","0.19","132,206,593.48","2,790,346.00","47.38","United States","NASDAQ","USD","1.00","USD","-"
"FSS","FEDERAL SIGNAL CORP","Industrials","Equity","132,094,271.68","0.19","132,094,271.68","1,554,416.00","84.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","132,087,378.60","0.19","132,087,378.60","3,327,138.00","39.70","United States","NASDAQ","USD","1.00","USD","-"
"HOMB","HOME BANCSHARES INC","Financials","Equity","131,331,960.50","0.19","131,331,960.50","4,909,606.00","26.75","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SLG","SL GREEN REALTY REIT CORP","Real Estate","Equity","130,925,985.52","0.19","130,925,985.52","1,707,656.00","76.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"POR","PORTLAND GENERAL ELECTRIC","Utilities","Equity","128,989,290.70","0.19","128,989,290.70","2,656,834.00","48.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UBSI","UNITED BANKSHARES INC","Financials","Equity","128,888,439.02","0.19","128,888,439.02","3,508,123.00","36.74","United States","NASDAQ","USD","1.00","USD","-"
"GATX","GATX CORP","Industrials","Equity","128,185,959.55","0.19","128,185,959.55","916,465.00","139.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TENB","TENABLE HOLDINGS INC","Information Technology","Equity","127,431,140.76","0.18","127,431,140.76","3,064,722.00","41.58","United States","NASDAQ","USD","1.00","USD","-"
"QTWO","Q2 HOLDINGS INC","Information Technology","Equity","127,297,475.55","0.18","127,297,475.55","1,534,629.00","82.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SUM","SUMMIT MATERIALS INC CLASS A","Materials","Equity","127,129,533.70","0.18","127,129,533.70","3,154,579.00","40.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","127,097,891.37","0.18","127,097,891.37","3,827,097.00","33.21","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SM","SM ENERGY","Energy","Equity","126,638,026.05","0.18","126,638,026.05","2,991,685.00","42.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","125,550,967.56","0.18","125,550,967.56","781,908.00","160.57","United States","NASDAQ","USD","1.00","USD","-"
"SKY","CHAMPION HOMES INC","Consumer Discretionary","Equity","125,514,329.84","0.18","125,514,329.84","1,382,012.00","90.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","125,428,371.53","0.18","125,428,371.53","1,174,313.00","106.81","United States","NASDAQ","USD","1.00","USD","-"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Financials","Equity","124,951,553.64","0.18","124,951,553.64","3,369,783.00","37.08","United States","NASDAQ","USD","1.00","USD","-"
"BOOT","BOOT BARN HOLDINGS INC","Consumer Discretionary","Equity","124,534,707.72","0.18","124,534,707.72","768,543.00","162.04","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BDC","BELDEN INC","Information Technology","Equity","122,436,069.96","0.18","122,436,069.96","1,050,773.00","116.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ZETA","ZETA GLOBAL HOLDINGS CORP CLASS A","Information Technology","Equity","122,194,168.80","0.18","122,194,168.80","4,628,567.00","26.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BCO","BRINKS","Industrials","Equity","121,324,971.96","0.18","121,324,971.96","1,167,372.00","103.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITRI","ITRON INC","Information Technology","Equity","120,706,123.48","0.17","120,706,123.48","1,192,277.00","101.24","United States","NASDAQ","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","120,287,419.20","0.17","120,287,419.20","2,570,244.00","46.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXT","NEXTRACKER INC CLASS A","Industrials","Equity","119,544,545.45","0.17","119,544,545.45","3,730,521.00","32.05","United States","NASDAQ","USD","1.00","USD","-"
"GPI","GROUP AUTOMOTIVE INC","Consumer Discretionary","Equity","118,739,845.27","0.17","118,739,845.27","344,483.00","344.69","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABG","ASBURY AUTOMOTIVE GROUP INC","Consumer Discretionary","Equity","118,724,455.80","0.17","118,724,455.80","525,562.00","225.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ALKS","ALKERMES","Health Care","Equity","118,634,041.20","0.17","118,634,041.20","4,221,852.00","28.10","United States","NASDAQ","USD","1.00","USD","-"
"QLYS","QUALYS INC","Information Technology","Equity","118,432,498.20","0.17","118,432,498.20","959,356.00","123.45","United States","NASDAQ","USD","1.00","USD","-"
"FELE","FRANKLIN ELECTRIC INC","Industrials","Equity","117,743,820.80","0.17","117,743,820.80","1,149,842.00","102.40","United States","NASDAQ","USD","1.00","USD","-"
"MATX","MATSON INC","Industrials","Equity","117,592,174.18","0.17","117,592,174.18","883,753.00","133.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY INC","Real Estate","Equity","117,582,558.87","0.17","117,582,558.87","3,187,383.00","36.89","United States","NASDAQ","USD","1.00","USD","-"
"SWX","SOUTHWEST GAS HOLDINGS INC","Utilities","Equity","117,307,566.35","0.17","117,307,566.35","1,584,167.00","74.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MGY","MAGNOLIA OIL GAS CORP CLASS A","Energy","Equity","117,115,473.58","0.17","117,115,473.58","4,500,979.00","26.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","116,998,451.01","0.17","116,998,451.01","2,813,139.00","41.59","United States","NASDAQ","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","116,881,248.00","0.17","116,881,248.00","3,652,539.00","32.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDNT","RADNET INC","Health Care","Equity","116,554,088.52","0.17","116,554,088.52","1,724,428.00","67.59","United States","NASDAQ","USD","1.00","USD","-"
"HWC","HANCOCK WHITNEY CORP","Financials","Equity","116,399,573.82","0.17","116,399,573.82","2,251,878.00","51.69","United States","NASDAQ","USD","1.00","USD","-"
"NE","NOBLE CORPORATION PLC","Energy","Equity","116,258,022.20","0.17","116,258,022.20","3,566,197.00","32.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","115,676,560.93","0.17","115,676,560.93","4,903,627.00","23.59","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ACA","ARCOSA INC","Industrials","Equity","115,522,685.89","0.17","115,522,685.89","1,252,007.00","92.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","114,780,414.99","0.17","114,780,414.99","15,243,083.00","7.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVNT","AVIENT CORP","Materials","Equity","114,601,690.89","0.17","114,601,690.89","2,371,233.00","48.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IRT","INDEPENDENCE REALTY INC TRUST","Real Estate","Equity","114,558,488.00","0.17","114,558,488.00","5,868,775.00","19.52","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PRMW","PRIMO WATER CORP","Consumer Staples","Equity","114,443,134.08","0.17","114,443,134.08","4,096,032.00","27.94","Canada","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRRM","VERRA MOBILITY CORP CLASS A","Industrials","Equity","114,394,695.88","0.17","114,394,695.88","4,326,577.00","26.44","United States","NASDAQ","USD","1.00","USD","-"
"KTB","KONTOOR BRANDS INC","Consumer Discretionary","Equity","113,367,751.20","0.16","113,367,751.20","1,447,864.00","78.30","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CTRE","CARETRUST REIT INC","Real Estate","Equity","112,846,661.90","0.16","112,846,661.90","3,714,505.00","30.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT INC","Real Estate","Equity","112,524,967.49","0.16","112,524,967.49","6,027,047.00","18.67","United States","NASDAQ","USD","1.00","USD","-"
"KRYS","KRYSTAL BIOTECH INC","Health Care","Equity","112,298,294.40","0.16","112,298,294.40","640,972.00","175.20","United States","NASDAQ","USD","1.00","USD","-"
"ORA","ORMAT TECH INC","Utilities","Equity","111,629,288.83","0.16","111,629,288.83","1,407,151.00","79.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RDN","RADIAN GROUP INC","Financials","Equity","111,004,326.45","0.16","111,004,326.45","3,231,567.00","34.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SFBS","SERVISFIRST BANCSHARES INC","Financials","Equity","110,888,414.85","0.16","110,888,414.85","1,312,755.00","84.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FCFS","FIRSTCASH HOLDINGS INC","Financials","Equity","110,783,608.64","0.16","110,783,608.64","997,691.00","111.04","United States","NASDAQ","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","109,773,079.74","0.16","109,773,079.74","1,803,402.00","60.87","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MHO","M I HOMES INC","Consumer Discretionary","Equity","109,476,723.20","0.16","109,476,723.20","692,540.00","158.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ASGN","ASGN INC","Information Technology","Equity","109,312,669.88","0.16","109,312,669.88","1,179,718.00","92.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ITGR","INTEGER HOLDINGS CORP","Health Care","Equity","108,738,478.35","0.16","108,738,478.35","866,097.00","125.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ESGR","ENSTAR GROUP LTD","Financials","Equity","108,317,793.12","0.16","108,317,793.12","334,562.00","323.76","United States","NASDAQ","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","107,818,175.77","0.16","107,818,175.77","1,714,393.00","62.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"OGS","ONE GAS INC","Utilities","Equity","107,588,881.40","0.16","107,588,881.40","1,459,822.00","73.70","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SHAK","SHAKE SHACK INC CLASS A","Consumer Discretionary","Equity","107,090,722.08","0.15","107,090,722.08","985,014.00","108.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EAT","BRINKER INTERNATIONAL INC","Consumer Discretionary","Equity","107,018,652.65","0.15","107,018,652.65","1,151,605.00","92.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FUL","HB FULLER","Materials","Equity","105,979,605.20","0.15","105,979,605.20","1,414,948.00","74.90","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SIG","SIGNET JEWELERS LTD","Consumer Discretionary","Equity","105,768,430.90","0.15","105,768,430.90","1,105,786.00","95.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CWAN","CLEARWATER ANALYTICS HOLDINGS INC","Information Technology","Equity","105,653,257.15","0.15","105,653,257.15","3,923,255.00","26.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WK","WORKIVA INC CLASS A","Information Technology","Equity","104,345,900.16","0.15","104,345,900.16","1,309,562.00","79.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MAC","MACERICH REIT","Real Estate","Equity","103,601,934.96","0.15","103,601,934.96","5,658,216.00","18.31","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
